Generation,Name,Gene0,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15
2,Patrick RosenblattII,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
2,Patrick RosenblattIII,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
2,John HayesII,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.3513807,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
2,Patrick Kruskal ,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
2,Patrick KruskalIII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
2,Patrick KruskalIV,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
2,Patrick KruskalII,-0.1257287,-0.3318064,0.02964115,0.6773506,0.5124934,-0.09604686,-0.1144281,0.6264035,0.4066383,0.1995269,-0.8536747,0.423595,-0.363042,-0.9620703,-0.01407194,-0.9353701
2,John de Vries ,0.3809714,-0.2463009,-0.3662971,0.9116637,0.7926589,0.6454136,-0.07728314,0.357432,0.4418603,0.9326545,-0.1165625,0.7756995,0.3353752,-0.6061084,0.5268095,0.6626319
2,Marvin Rosenblatt ,-0.8107747,-0.3754665,0.3827269,0.9373801,-0.6636607,-0.9681678,0.5666666,0.5383886,0.2114652,0.8290406,0.2420187,-0.9740316,-0.6830428,0.09255314,0.6637124,-0.2649029
2,John Hayes ,0.5358145,0.4112282,0.2250429,-0.2413304,0.6507211,0.9649259,0.03728771,-0.3384977,-0.01492941,0.6228584,-0.3513807,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
2,Hugo Kruskal ,0.8479452,0.5506486,0.426795,0.7814441,0.807826,0.6821305,-0.5876664,-0.3546833,0.8938529,-0.2179297,-0.731299,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
2,Marvin KruskalIII,0.5249242,-0.7805381,0.1132087,0.5587679,-0.2244106,0.3801602,-0.9794575,-0.2002267,-0.3447679,-0.9644116,-0.7771759,-0.5302213,0.1131228,-0.2050154,0.2876816,0.02840793
2,Marvin Kruskal ,0.5249242,-0.7805381,0.1132087,0.5587679,-0.2244106,0.3801602,-0.9794575,-0.2002267,-0.3447679,-0.9644116,-0.7771759,-0.5302213,0.1131228,-0.2050154,0.2876816,0.02840793
2,Marvin KruskalII,0.5249242,-0.7805381,0.1132087,0.5587679,-0.2244106,0.3801602,-0.9794575,-0.2002267,-0.3447679,-0.9644116,-0.7771759,-0.5302213,0.1131228,-0.2050154,0.2876816,0.02840793
2,Patrick Perlin ,-0.1257287,-0.3318064,0.02964115,0.6773506,0.5124934,-0.09604686,-0.1144281,0.6264035,0.4066383,0.1995269,-0.8536747,-0.9985056,-0.363042,-0.9620703,-0.01407194,-0.9353701
2,Patrick PerlinII,-0.1257287,-0.3318064,0.02964115,0.6773506,0.5124934,-0.09604686,-0.1144281,0.6264035,0.4066383,0.1995269,-0.8536747,-0.9985056,-0.363042,-0.9620703,-0.01407194,-0.9353701
2,Patrick PerlinIII,-0.1257287,-0.3318064,0.02964115,0.6773506,0.5124934,-0.09604686,-0.1144281,0.6264035,0.4066383,0.1995269,-0.8536747,-0.9985056,-0.363042,-0.9620703,-0.01407194,-0.9353701
3,Patrick MinskyIV,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,-0.9234106,-0.6293245
3,Patrick Minsky ,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
3,Patrick MinskyIII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.7561831,0.008112073,-0.9234106,-0.6293245
3,Patrick MinskyII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.6064253,0.5970187,0.3346448,0.008112073,-0.9234106,-0.6293245
3,Patrick RosenblattII,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.101527,0.4912524,-0.5341147,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
3,John de Vries ,-0.801448,0.9101939,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,0.101527,0.4912524,0.5780153,0.6834527,0.6619344,-0.1403965,0.3094462,-0.6859149
3,Patrick Rosenblatt ,-0.02234703,-0.4342896,0.6421384,-0.2321699,0.7814854,-0.2202551,0.9759184,-0.1575609,-0.128925,0.6228584,-0.9387265,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
3,Patrick KruskalII,-0.801448,0.9101939,-0.6127914,0.02100217,0.0273422,0.527723,0.6394629,0.7598686,0.2887608,0.2662884,-0.8000937,-0.8365542,-0.2152717,-0.7920172,-0.1219843,0.1187539
3,John RosenblattII,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.9387265,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
3,John RosenblattIII,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.9387265,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
3,John Hayes ,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.3513807,0.07005084,0.6382575,0.4032208,-0.2463397,0.003482461
3,John Rosenblatt ,0.6512982,0.521021,-0.6729995,0.211025,-0.8143116,0.8463277,0.6964335,0.9253173,-0.128925,0.6228584,-0.3513807,0.07005084,0.1193453,0.4032208,-0.2463397,0.003482461
