Generation,MaxFitness,MinFitness,AveFitness,SuccessfulAgents
1,56.11034,-134.1779,2.720463,5
2,56.11034,-16.18411,52.39385,20
3,60.00178,1.007157,50.43653,18
4,57.16901,11.48653,51.52023,20
5,58.8187,4.771858,47.58631,20
6,57.5173,1.034496,45.65889,18
7,59.71301,56.11034,56.50118,20
8,59.71301,1,48.1504,17
9,59.71301,1.174761,50.80924,18
10,60.03539,19.18463,56.25137,20
11,60.03539,1.166598,51.17345,18
12,60.03539,23.94789,56.13469,20
13,59.92617,57.17731,58.9072,20
14,59.92617,57.24037,58.83734,20
15,59.71529,1.993093,52.7082,18
