Generation,MaxFitness,MinFitness,AveFitness,SuccessfulAgents
1,167.996,8.050214,57.81496,4
2,165.3642,17.05061,78.64349,7
3,151.4803,10.99396,93.63847,9
4,151.4803,33.95331,106.1245,9
5,151.4803,30.17962,116.4551,13
6,151.4803,45.94088,135.3767,17
7,151.4803,42.48641,129.4557,16
8,151.4803,51.20204,136.6107,17
9,151.4803,45.6958,129.8399,16
10,151.4803,129.3245,146.461,20
11,151.4803,13.27836,133.5735,18
12,151.4803,27.83884,140.9546,19
