Generation,MaxFitness,MinFitness,AveFitness,SuccessfulAgents
1,28.45216,-22.96568,2.405895,3
2,28.45216,1.050576,26.10659,19
3,28.99408,2.320246,26.74371,17
4,28.7153,-3.831207,26.40848,19
5,28.7153,1.003961,21.54941,14
6,28.7153,1.003961,27.10398,19
7,29.1466,28.1666,28.50937,20
8,28.69546,1.04256,20.78174,14
9,28.5536,1.05092,24.53395,17
10,28.5536,1.047519,26.87373,19
11,28.76454,-0.6353531,25.27145,18
12,28.74487,23.94815,28.23606,20
13,28.70495,28.41738,28.53044,20
14,29.09716,1.051316,27.04353,19
15,29.21001,-40.5876,23.56299,20
16,29.21001,1.028486,22.67896,16
17,29.71233,1.047417,23.42966,16
18,29.71233,-27.34411,22.62659,20
19,29.71233,2.236083,24.21963,16
20,29.73726,17.38056,27.68689,20
